NL 174:558:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lange, Eduard~P:Lange, Eduard (Vetter Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::20.04.1904::::Liberec~50.764444°, 15.046944°:3 S. hs.:::::C012::0
NL 174:559:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, August~P:Lederer, August (Enkel Machs):::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::ca. 1903:1903::::o.O.:2 S. hs.:::"""Eine Spatzengeschichte"", 17.04.1903 (7 S. hs.)":Enkel Ernst Machs:C012::0
NL 174:560:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, Caroline geb. Mach~P:Lederer, Caroline:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::06.11.1896::::Prag~50.083333°, 14.416667°:2 S. hs.:::::C012::2035
NL 174:561:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, Caroline geb. Mach~P:Lederer, Caroline:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief::o.D.:::::o.O.:3 S. hs.:::::C012::2035
NL 174:562:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, Caroline geb. Mach~P:Lederer, Caroline:::Mach, Louise~ P:Mach, Louise:::Brief::o.D.:::::o.O.:1 S. hs.:::::C012::2035
NL 174:563:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, Caroline geb. Mach~P:Lederer, Caroline:::Mach, Louise~ P:Mach, Louise:::Brief::o.D.:::::o.O.:2 S. hs.:::::C012::2035
NL 174:564:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Lederer, Caroline geb. Mach~P:Lederer, Caroline:::Mach, Louise~ P:Mach, Louise:::Visitenkarte::o.D.:::::o.O.:2 S. gedr. u. hs.:::Umschlag::C012::1111
NL 174:565:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Ernst~118575767:Mach, Ernst:118575767::N.N.:N.N.:::Visitenkarte::o.D.:::::o.O.:1 S. gedr. u. ms.:::::C012::1986
NL 174:566:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Ernst~118575767:Mach, Ernst:118575767::::::Karte:::41894:::Lederer, Anton~1018731539; Mach, Caroline~ P:Prag~50.083333°, 14.416667°:1 S. gedr.::::Vermählungsanzeige von Caroline Mach (Tochter Machs) und Anton Lederer (2 Ex.):C005::1986
NL 174:567:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Ferdinand~ P:Mach, Ferdinand:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::02.07.1895::::Vocin~45.616667°, 17.55°:3 S. hs.:::::C012::0
NL 174:568:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Heinrich~ P:Mach, Heinrich:::Mach, Louise~ P:Mach, Louise:::Brief:::30.07.1894::::Göttingen~51.533889°, 9.935556°:1 S. hs.::Blackmore 1972, S. 148; Heller 1964, S. 148::Heinrich Mach ist der Sohn von Ernst und Louise Mach:C012::1964
NL 174:569:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Ludwig~118821830:Mach, Ludwig:118821830::Mach, Louise~ P:Mach, Louise:::Brief:::12.12.1912::::o.O.:1 S. hs.:::::C012::2021
NL 174:570:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::15.07.1890::::Cetinje~42.393333°, 18.921944°:5 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:571:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.08.1890::::Cetinje~42.393333°, 18.921944°:8 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:572:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::07.08.1892::::[?]:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:573:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::28.08.1893::::Metlika~45.651081°, 15.31475°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:574:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.12.1894::::Arad~46.183333°, 21.316667°:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:575:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::22.12.1894::::Arad~46.183333°, 21.316667°:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:576:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Karte:::13.03.1895::::Wien~48.20833°, 16.373064°:2 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:577:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::17.05.1895::::Holeov~49.332778°, 17.578333°:3 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
NL 174:578:5. Korrespondenz:5.1. Private Korrespondenz der Familie Mach:Mach, Marie~ P:Mach, Marie:::Mach, Ernst~118575767:Mach, Ernst:118575767::Brief:::26.05.1895::::o.O.:4 S. hs.::::Marie Mach ist die Schwester von Ernst Mach:C012::1998
